,What Helped You The Most?
0,Education
1,Education
2,Education
3,Education
4,Education
5,Education
6,Education
7,Education
8,Education
9,Education
10,Education
11,Education
12,Education
13,Education
14,Education
15,Education
16,Education
17,Education
18,Education
19,Education
20,Education
21,Education
22,Education
23,Education
24,Education
25,Education
26,Education
27,Education
28,Education
29,Education
30,Education
31,Education
32,Education
33,Education
34,Education
35,Education
36,Education
37,Education
38,Education
39,Education
40,Education
41,Education
42,Education
43,Education
44,Education
45,Education
46,Education
47,Education
48,Education
49,Education
50,Education
51,Education
52,Education
53,Education
54,Education
55,Education
56,Education
57,Education
58,Education
59,Education
60,Education
61,Education
62,Education
63,Education
64,Education
65,Education
66,Education
67,Education
68,Education
69,Education
70,Education
71,Education
72,Education
73,Education
74,Education
75,Education
76,Education
77,Education
78,Education
79,Education
80,Education
81,Education
82,Education
83,Education
84,Education
85,Education
86,Education
87,Education
88,Education
89,Education
90,Education
91,Education
92,Education
93,Education
94,Education
95,Education
96,Education
97,Education
98,Education
99,Education
100,Education
101,Education
102,Education
103,Education
104,Education
105,Education
106,Education
107,Education
108,Education
109,Education
110,Education
111,Education
112,Education
113,Education
114,Education
115,Education
116,Education
117,Education
118,Education
119,Education
120,Education
121,Education
122,Education
123,Education
124,Education
125,Education
126,Education
127,Education
128,Education
129,Education
130,Education
131,Education
132,Education
133,Education
134,Education
135,Education
136,Education
137,Education
138,Education
139,Education
140,Education
141,Education
142,Education
143,Education
144,Education
145,Education
146,Education
147,Education
148,Education
149,Education
150,Education
151,Education
152,Education
153,Education
154,Education
155,Education
156,Education
157,Education
158,Education
159,Education
160,Education
161,Education
162,Education
163,Education
164,Education
165,Education
166,Education
167,Education
168,Education
169,Education
170,Education
171,Education
172,Education
173,Education
174,Education
175,Education
176,Education
177,Education
178,Education
179,Education
180,Education
181,Education
182,Education
183,Education
184,Education
185,Education
186,Education
187,Education
188,Education
189,Education
190,Education
191,Education
192,Education
193,Education
194,Education
195,Education
196,Education
197,Education
198,Education
199,Education
200,Education
201,Education
202,Education
203,Education
204,Education
205,Education
206,Education
207,Education
208,Education
209,Education
210,Education
211,Education
212,Education
213,Education
214,Education
215,Education
216,Education
217,Education
218,Education
219,Education
220,Education
221,Education
222,Education
223,Education
224,Education
225,Education
226,Education
227,Education
228,Education
229,Education
230,Education
231,Education
232,Education
233,Education
234,Education
235,Education
236,Education
237,Education
238,Education
239,Education
240,Education
241,Education
242,Education
243,Education
244,Education
245,Education
246,Education
247,Education
248,Education
249,Education
250,Education
251,Education
252,Education
253,Education
254,Education
255,Education
256,Education
257,Education
258,Education
259,Education
260,Education
261,Education
262,Education
263,Education
264,Education
265,Education
266,Education
267,Education
268,Education
269,Education
270,Education
271,Education
272,Education
273,Education
274,Education
275,Education
276,Education
277,Education
278,Education
279,Education
280,Education
281,Education
282,Education
283,Education
284,Education
285,Education
286,Education
287,Education
288,Education
289,Education
290,Education
291,Education
292,Education
293,Education
294,Education
295,Education
296,Education
297,Education
298,Education
299,Education
300,Education
301,Education
302,Education
303,Education
304,Education
305,Education
306,Education
307,Education
308,Education
309,Education
310,Education
311,Education
312,Education
313,Education
314,Education
315,Education
316,Education
317,Education
318,Education
319,Education
320,Education
321,Education
322,Education
323,Education
324,Education
325,Education
326,Education
327,Education
328,Education
329,Education
330,Education
331,Education
332,Education
333,Education
334,Education
335,Education
336,Education
337,Education
338,Education
339,Education
340,Education
341,Education
342,Education
343,Education
344,Education
345,Education
346,Education
347,Education
348,Education
349,Education
350,Education
351,Education
352,Education
353,Education
354,Education
355,Education
356,Education
357,Education
358,Education
359,Education
360,Education
361,Education
362,Education
363,Education
364,Education
365,Education
366,Education
367,Education
368,Education
369,Education
370,Education
371,Education
372,Education
373,Education
374,Education
375,Education
376,Education
377,Education
378,Education
379,Education
380,Education
381,Education
382,Education
383,Education
384,Education
385,Education
386,Education
387,Education
388,Education
389,Education
390,Education
391,Education
392,Education
393,Education
394,Education
395,Education
396,Education
397,Education
398,Education
399,Education
400,Education
401,Education
402,Education
403,Education
404,Education
405,Education
406,Education
407,Education
408,Education
409,Education
410,Education
411,Education
412,Education
413,Education
414,Education
415,Education
416,Education
417,Education
418,Education
419,Education
420,Education
421,Education
422,Education
423,Education
424,Education
425,Education
426,Education
427,Education
428,Education
429,Education
430,Education
431,Education
432,Education
433,Education
434,Education
435,Education
436,Education
437,Education
438,Education
439,Education
440,Education
441,Education
442,Education
443,Education
444,Education
445,Education
446,Education
447,Education
448,Education
449,Education
450,Education
451,Education
452,Education
453,Education
454,Education
455,Education
456,Education
457,Education
458,Education
459,Education
460,Education
461,Education
462,Education
463,Education
464,Education
465,Education
466,Education
467,Education
468,Education
469,Education
470,Education
471,Education
472,Education
473,Education
474,Education
475,Education
476,Education
477,Education
478,Education
479,Education
480,Education
481,Education
482,Education
483,Education
484,Education
485,Education
486,Education
487,Education
488,Education
489,Education
490,Education
491,Education
492,Education
493,Education
494,Education
495,Education
496,Education
497,Education
498,Education
499,Education
500,Education
501,Education
502,Education
503,Education
504,Education
505,Education
506,Education
507,Education
508,Education
509,Education
510,Education
511,Education
512,Education
513,Education
514,Education
515,Education
516,Education
517,Education
518,Education
519,Education
520,Education
521,Education
522,Education
523,Education
524,Education
525,Education
526,Education
527,Education
528,Education
529,Education
530,Education
531,Education
532,Education
533,Education
534,Education
535,Education
536,Education
537,Education
538,Education
539,Education
540,Education
541,Education
542,Education
543,Education
544,Education
545,Education
546,Education
547,Education
548,Education
549,Education
550,Education
551,Education
552,Education
553,Education
554,Education
555,Education
556,Education
557,Education
558,Education
559,Education
560,Education
561,Education
562,Education
563,Education
564,Education
565,Education
566,Education
567,Education
568,Education
569,Education
570,Education
571,Education
572,Education
573,Education
574,Education
575,Education
576,Education
577,Education
578,Education
579,Education
580,Education
581,Education
582,Education
583,Education
584,Education
585,Education
586,Education
587,Education
588,Education
589,Education
590,Education
591,Education
592,Education
593,Education
594,Education
595,Education
596,Education
597,Education
598,Education
599,Education
600,Education
601,Education
602,Education
603,Education
604,Education
605,Education
606,Education
607,Education
608,Education
609,Education
610,Education
611,Education
612,Education
613,Education
614,Education
615,Education
616,Education
617,Education
618,Education
619,Education
620,Education
621,Education
622,Education
623,Education
624,Education
625,Education
626,Education
627,Education
628,Education
629,Education
630,Education
631,Education
632,Education
633,Education
634,Education
635,Education
636,Education
637,Education
638,Education
639,Education
640,Education
641,Education
642,Education
643,Education
644,Education
645,Education
646,Education
647,Education
648,Education
649,Education
650,Education
651,Education
652,Education
653,Education
654,Education
655,Education
656,Education
657,Education
658,Education
659,Education
660,Education
661,Education
662,Education
663,Education
664,Education
665,Education
666,Education
667,Education
668,Education
669,Education
670,Education
671,Education
672,Education
673,Education
674,Education
675,Education
676,Education
677,Education
678,Education
679,Education
680,Education
681,Education
682,Education
683,Education
684,Education
685,Education
686,Education
687,Education
688,Education
689,Education
690,Education
691,Education
692,Education
693,Education
694,Education
695,Education
696,Education
697,Education
698,Education
699,Education
700,Education
701,Education
702,Education
703,Education
704,Education
705,Education
706,Education
707,Education
708,Education
709,Education
710,Education
711,Education
712,Education
713,Education
714,Education
715,Education
716,Education
717,Education
718,Education
719,Education
720,Education
721,Education
722,Education
723,Education
724,Education
725,Education
726,Education
727,Education
728,Education
729,Education
730,Education
731,Education
732,Education
733,Education
734,Education
735,Education
736,Education
737,Education
738,Education
739,Education
740,Education
741,Education
742,Education
743,Education
744,Education
745,Education
746,Education
747,Education
748,Education
749,Education
750,Education
751,Education
752,Education
753,Education
754,Education
755,Education
756,Education
757,Education
758,Education
759,Education
760,Education
761,Education
762,Education
763,Education
764,Education
765,Education
766,Education
767,Education
768,Education
769,Education
770,Education
771,Education
772,Education
773,Education
774,Education
775,Education
776,Education
777,Education
778,Education
779,Education
780,Education
781,Education
782,Education
783,Education
784,Education
785,Education
786,Education
787,Education
788,Education
789,Education
790,Education
791,Education
792,Education
793,Education
794,Education
795,Education
796,Education
797,Education
798,Education
799,Education
800,Education
801,Education
802,Education
803,Education
804,Education
805,Education
806,Education
807,Education
808,Education
809,Education
810,Education
811,Education
812,Education
813,Education
814,Education
815,Education
816,Education
817,Education
818,Education
819,Education
820,Education
821,Education
822,Education
823,Education
824,Education
825,Education
826,Education
827,Education
828,Education
829,Education
830,Education
831,Education
832,Education
833,Education
834,Education
835,Education
836,Education
837,Education
838,Education
839,Education
840,Education
841,Education
842,Education
843,Education
844,Education
845,Education
846,Education
847,Education
848,Education
849,Education
850,Education
851,Education
852,Education
853,Education
854,Education
855,Education
856,Education
857,Education
858,Education
859,Education
860,Education
861,Education
862,Education
863,Education
864,Education
865,Education
866,Education
867,Education
868,Education
869,Education
870,Education
871,Education
872,Education
873,Education
874,Education
875,Education
876,Education
877,Education
878,Education
879,Education
880,Education
881,Education
882,Education
883,Education
884,Education
885,Education
886,Education
887,Education
888,Education
889,Education
890,Education
891,Education
892,Education
893,Education
894,Education
895,Education
896,Education
897,Education
898,Education
899,Education
900,Education
901,Education
902,Education
903,Education
904,Education
905,Education
906,Education
907,Education
908,Education
909,Education
910,Education
911,Education
912,Education
913,Education
914,Education
915,Education
916,Education
917,Education
918,Education
919,Education
920,Education
921,Education
922,Education
923,Education
924,Education
925,Education
926,Education
927,Education
928,Education
929,Education
930,Education
931,Education
932,Education
933,Education
934,Education
935,Education
936,Education
937,Education
938,Education
939,Education
940,Education
941,Education
942,Education
943,Education
944,Education
945,Education
946,Education
947,Education
948,Education
949,Education
950,Education
951,Education
952,Education
953,Education
954,Education
955,Education
956,Education
957,Education
958,Education
959,Education
960,Education
961,Education
962,Education
963,Education
964,Education
965,Education
966,Education
967,Education
968,Education
969,Education
970,Education
971,Education
972,Education
973,Education
974,Education
975,Education
976,Education
977,Education
978,Education
979,Education
980,Education
981,Education
982,Education
983,Education
984,Education
985,Education
986,Education
987,Education
988,Education
989,Education
990,Education
991,Education
992,Education
993,Education
994,Education
995,Education
996,Education
997,Education
998,Education
999,Education
1000,Education
1001,Education
1002,Education
1003,Education
1004,Education
1005,Education
1006,Education
1007,Education
1008,Education
1009,Education
1010,Education
1011,Education
1012,Education
1013,Education
1014,Education
1015,Education
1016,Education
1017,Education
1018,Education
1019,Education
1020,Education
1021,Education
1022,Education
1023,Education
1024,Education
1025,Education
1026,Education
1027,Education
1028,Education
1029,Education
1030,Education
1031,Education
1032,Education
1033,Education
1034,Education
1035,Education
1036,Education
1037,Education
1038,Education
1039,Education
1040,Education
1041,Education
1042,Education
1043,Education
1044,Education
1045,Education
1046,Education
1047,Education
1048,Education
1049,Education
1050,Education
1051,Education
1052,Education
1053,Education
1054,Education
1055,Education
1056,Education
1057,Education
1058,Education
1059,Education
1060,Education
1061,Education
1062,Education
1063,Education
1064,Education
1065,Education
1066,Education
1067,Education
1068,Education
1069,Education
1070,Education
1071,Education
1072,Education
1073,Education
1074,Education
1075,Education
1076,Education
1077,Education
1078,Education
1079,Education
1080,Education
1081,Education
1082,Education
1083,Education
1084,Education
1085,Education
1086,Education
1087,Education
1088,Education
1089,Education
1090,Education
1091,Education
1092,Education
1093,Education
1094,Education
1095,Education
1096,Education
1097,Education
1098,Education
1099,Education
1100,Education
1101,Education
1102,Education
1103,Education
1104,Education
1105,Education
1106,Education
1107,Education
1108,Education
1109,Education
1110,Education
1111,Education
1112,Education
1113,Education
1114,Education
1115,Education
1116,Education
1117,Education
1118,Education
1119,Education
1120,Education
1121,Education
1122,Education
1123,Education
1124,Education
1125,Education
1126,Education
1127,Education
1128,Education
1129,Education
1130,Education
1131,Education
1132,Education
1133,Education
1134,Education
1135,Education
1136,Education
1137,Education
1138,Education
1139,Education
1140,Education
1141,Education
1142,Education
1143,Education
1144,Education
1145,Education
1146,Education
1147,Education
1148,Education
1149,Education
1150,Education
1151,Education
1152,Education
1153,Education
1154,Education
1155,Education
1156,Education
1157,Education
1158,Education
1159,Education
1160,Education
1161,Education
1162,Education
1163,Education
1164,Education
1165,Education
1166,Education
1167,Education
1168,Education
1169,Education
1170,Education
1171,Education
1172,Education
1173,Education
1174,Education
1175,Education
1176,Education
1177,Education
1178,Education
1179,Education
1180,Good Education
1181,Good Education
1182,Good Education
1183,Good Education
1184,Good Education
1185,Good Education
1186,Good Education
1187,Good Education
1188,Good Education
1189,Good Education
1190,Good Education
1191,Good Education
1192,Good Education
1193,Good Education
1194,Good Education
1195,Good Education
1196,Good Education
1197,Good Education
1198,Good Education
1199,Good Education
1200,Good Education
1201,Good Education
1202,Good Education
1203,Good Education
1204,Good Education
1205,Good Education
1206,Good Education
1207,Good Education
1208,Good Education
1209,Good Education
1210,Good Education
1211,Good Education
1212,Good Education
1213,Good Education
1214,Good Education
1215,Good Education
1216,Good Education
1217,Good Education
1218,Good Education
1219,Good Education
1220,Good Education
1221,Good Education
1222,Good Education
1223,Good Education
1224,Good Education
1225,Good Education
1226,Good Education
1227,Good Education
1228,Good Education
1229,Good Education
1230,Good Education
1231,Good Education
1232,Good Education
1233,Good Education
1234,Good Education
1235,Good Education
1236,Good Education
1237,Good Education
1238,Good Education
1239,Good Education
1240,Good Education
1241,Good Education
1242,Good Education
1243,Good Education
1244,Good Education
1245,Good Education
1246,Good Education
1247,Good Education
1248,Good Education
1249,Good Education
1250,Good Education
1251,Good Education
1252,Good Education
1253,Good Education
1254,Good Education
1255,Good Education
1256,Good Education
1257,Good Education
1258,Good Education
1259,Good Education
1260,Good Education
1261,Good Education
1262,Good Education
1263,Good Education
1264,Good Education
1265,Good Education
1266,Good Education
1267,Good Education
1268,Good Education
1269,Good Education
1270,Good Education
1271,Good Education
1272,Good Education
1273,Good Education
1274,Good Education
1275,Good Education
1276,Good Education
1277,Good Education
1278,Good Education
1279,Good Education
1280,Good Education
1281,Good Education
1282,Good Education
1283,Good Education
1284,Good Education
1285,Good Education
1286,Good Education
1287,Good Education
1288,Good Education
1289,Good Education
1290,Good Education
1291,Good Education
1292,Good Education
1293,Good Education
1294,Good Education
1295,Good Education
1296,Good Education
1297,Good Education
1298,Good Education
1299,Good Education
1300,Good Education
1301,Good Education
1302,Good Education
1303,Good Education
1304,Good Education
1305,Good Education
1306,Good Education
1307,Good Education
1308,Good Education
1309,Good Education
1310,Good Education
1311,Good Education
1312,Good Education
1313,Good Education
1314,Good Education
1315,Good Education
1316,Good Education
1317,Good Education
1318,Good Education
1319,Good Education
1320,Good Education
1321,Good Education
1322,Good Education
1323,Good Education
1324,Good Education
1325,Good Education
1326,Good Education
1327,Good Education
1328,Good Education
1329,Good Education
1330,Good Education
1331,Good Education
1332,Good Education
1333,Good Education
1334,Good Education
1335,Good Education
1336,Good Education
1337,Good Education
1338,Good Education
1339,Good Education
1340,Good Education
1341,Good Education
1342,Good Education
1343,Good Education
1344,Good Education
1345,Good Education
1346,Good Education
1347,Good Education
1348,Good Education
1349,Good Education
1350,Good Education
1351,Good Education
1352,Good Education
1353,Good Education
1354,Good Education
1355,Good Education
1356,Good Education
1357,Good Education
1358,Good Education
1359,Good Education
1360,Good Education
1361,Good Education
1362,Good Education
1363,Good Education
1364,Good Education
1365,Good Education
1366,Good Education
1367,Good Education
1368,Good Education
1369,Good Education
1370,Good Education
1371,Good Education
1372,Good Education
1373,Good Education
1374,Good Education
1375,Good Education
1376,Good Education
1377,Good Education
1378,Good Education
1379,Good Education
1380,Good Education
1381,Good Education
1382,Good Education
1383,Good Education
1384,Good Education
1385,Good Education
1386,Good Education
1387,Good Education
1388,Good Education
1389,Good Education
1390,Good Education
1391,Good Education
1392,Good Education
1393,Good Education
1394,Good Education
1395,Good Education
1396,Good Education
1397,Good Education
1398,Good Education
1399,Good Education
1400,Good Education
1401,Good Education
1402,Good Education
1403,Good Education
1404,Good Education
1405,Good Education
1406,Good Education
1407,Good Education
1408,Good Education
1409,Good Education
1410,Good Education
1411,Good Education
1412,Good Education
1413,Good Education
1414,Good Education
1415,Good Education
1416,Good Education
1417,Good Education
1418,Good Education
1419,Good Education
1420,Good Education
1421,Good Education
1422,Good Education
1423,Good Education
1424,Good Education
1425,Good Education
1426,Good Education
1427,Good Education
1428,Good Education
1429,Good Education
1430,Good Education
1431,Good Education
1432,Good Education
1433,Good Education
1434,Good Education
1435,Good Education
1436,Good Education
1437,Good Education
1438,Good Education
1439,Good Education
1440,Good Education
1441,Good Education
1442,Good Education
1443,Good Education
1444,Good Education
1445,Good Education
1446,Good Education
1447,Good Education
1448,Good Education
1449,Good Education
1450,Good Education
1451,Good Education
1452,Good Education
1453,Good Education
1454,Good Education
1455,Good Education
1456,Good Education
1457,Good Education
1458,Good Education
1459,Good Education
1460,Good Education
1461,Good Education
1462,Good Education
1463,Good Education
1464,Good Education
1465,Good Education
1466,Good Education
1467,Good Education
1468,Good Education
1469,Good Education
1470,Good Education
1471,Good Education
1472,Good Education
1473,Good Education
1474,Good Education
1475,Good Education
1476,Good Education
1477,Good Education
1478,Good Education
1479,Good Education
1480,Good Education
1481,Good Education
1482,Good Education
1483,Good Education
1484,Good Education
